símbolo;nombre;precio;PER;ROE (%);RSI;Volumen;Capitalización;Clasificación
TGT;Target Corporation;97.96;11.42;26.32;36.44;6476682;44512632832;Medio plazo
GIS;General Mills, Inc.;49.25;12.01;24.59;39.39;5668411;26333286400;Medio plazo
